A,B,C
2019-07-18,83.46,83.4
2019-07-17,84.35,84.63
2019-07-16,83.77,84.91
2019-07-15,84.3,84.38
2019-07-14,83.66,84.64
2019-07-11,83.55,83.98
2019-07-10,85.2,85.57
2019-07-09,84.83,85.79
2019-07-08,86.29,86.57
2019-07-07,86.97,87.13
2019-07-04,87.22,87.54
2019-07-03,86.02,87.42
2019-07-02,85.68,85.91
2019-07-01,85.28,85.43
2019-06-30,84.93,85.76
2019-06-27,84.76,85.31
2019-06-26,86.5,86.5
2019-06-25,86.22,86.74
2019-06-24,87.12,87.21
2019-06-23,87.5,87.59
2019-06-20,87.2,88.28
2019-06-19,86.9,87.57
2019-06-18,86.16,86.66
2019-06-17,85.39,86.19
2019-06-16,85.17,85.72
2019-06-13,85.9,85.96
2019-06-12,85.71,86.35
2019-06-11,85.69,86.23
2019-06-10,86.12,86.15
2019-06-09,86.0,86.24
2019-06-06,85.43,85.94
2019-06-05,85.01,85.95
2019-06-04,84.89,85.35
2019-06-03,84.68,84.86
2019-06-02,84.89,85.0
2019-05-30,84.9,84.95
2019-05-29,84.66,84.88
2019-05-28,84.44,84.81
2019-05-27,83.6,84.45
2019-05-26,83.65,83.95
2019-05-23,83.2,83.23
2019-05-22,83.05,83.26
2019-05-21,82.15,83.09
2019-05-20,81.75,82.51
2019-05-19,82.41,82.82
2019-05-16,82.87,83.03
2019-05-15,83.8,84.43
2019-05-14,83.51,84.01
2019-05-13,83.87,84.3
2019-05-12,82.46,83.67
2019-05-09,82.09,82.51
2019-05-08,81.33,82.56
2019-05-07,79.5,81.42
2019-05-06,81.57,81.71
2019-05-05,81.3,81.71
2019-05-02,83.73,84.56
2019-05-01,83.43,83.43
2019-04-30,82.8,83.78
2019-04-29,81.82,82.94
2019-04-28,81.45,82.32
2019-04-25,81.29,82.36
2019-04-24,81.98,82.8
2019-04-23,82.0,82.16
2019-04-22,80.14,81.85
2019-04-21,79.36,79.36
2019-04-18,79.36,79.36
2019-04-17,78.59,79.61
2019-04-16,77.72,78.42
2019-04-15,77.91,78.47
2019-04-14,77.02,78.25
2019-04-11,78.51,78.7
2019-04-10,79.32,80.17
2019-04-09,79.07,79.48
2019-04-08,78.96,79.33
2019-04-07,79.77,80.17
2019-04-04,80.24,81.34
2019-04-03,80.32,80.52
2019-04-02,80.65,80.88
2019-04-01,81.22,81.47
2019-03-31,80.95,81.44
2019-03-28,79.7,80.53
2019-03-27,78.5,79.6
2019-03-26,78.39,79.54
2019-03-25,76.56,78.25
2019-03-24,78.0,78.17
2019-03-21,77.5,78.56
2019-03-20,77.49,78.42
2019-03-19,78.0,78.52
2019-03-18,77.53,78.75
2019-03-17,77.0,78.11
2019-03-14,75.2,77.34
2019-03-13,78.33,78.48
2019-03-12,79.15,79.23
2019-03-11,79.56,80.62
2019-03-10,79.23,80.01
2019-03-07,81.02,81.3
2019-03-06,81.73,81.95
2019-03-05,81.83,81.94
2019-03-04,81.01,82.32
2019-03-03,80.35,81.31
2019-02-28,82.4,83.42
2019-02-27,84.06,84.63
2019-02-26,82.92,84.03
2019-02-25,83.8,83.8
2019-02-24,82.05,83.37
2019-02-21,82.4,82.62
2019-02-20,81.4,82.24
2019-02-19,82.49,83.07
2019-02-18,82.2,82.92
2019-02-17,82.43,82.74
2019-02-14,81.37,82.74
2019-02-13,80.09,81.26
2019-02-12,80.03,81.08
2019-02-11,78.56,80.05
2019-02-10,78.86,79.25
2019-02-07,78.26,78.95
2019-02-06,76.91,78.31
2019-02-05,76.46,76.93
2019-02-04,77.61,77.85
2019-02-03,79.8,79.92
2019-01-31,79.46,79.75
2019-01-30,79.12,79.99
2019-01-29,79.95,80.42
2019-01-28,78.26,79.64
2019-01-27,77.8,78.72
2019-01-24,80.0,80.15
2019-01-23,79.96,80.46
2019-01-22,80.94,81.22
2019-01-21,80.3,81.27
2019-01-20,79.27,80.09
2019-01-17,79.17,80.6
2019-01-16,78.62,79.07
2019-01-15,77.7,78.51
2019-01-14,76.67,77.57
2019-01-13,77.9,77.91
2019-01-10,77.32,77.98
2019-01-09,77.72,78.06
2019-01-08,77.99,78.42
2019-01-07,78.43,78.86
2019-01-06,76.21,76.99
2019-01-03,76.39,76.85
2019-01-02,78.4,78.72
2019-01-01,77.49,77.49
2013-12-31,77.49,77.49
2013-12-30,77.95,78.03
2013-12-27,77.72,77.99
2013-12-26,76.9,76.9
2013-12-25,76.9,76.9
2013-12-24,76.9,76.9
2013-12-23,76.66,77.18
2013-12-20,75.58,76.24
2013-12-19,75.38,75.72
2013-12-18,74.99,75.04
2013-12-17,74.93,75.15
2013-12-16,73.43,75.33
2013-12-13,73.93,74.17
2013-12-12,73.75,74.26
2013-12-11,74.89,75.26
2013-12-10,75.37,75.92
2013-12-09,76.25,76.25
2013-12-06,75.14,75.98
2013-12-05,75.27,75.97
2013-12-04,77.45,77.66
2013-12-03,78.97,79.12
